tid;relationship;related_tid;targrel_id
11891;SUBSET OF;105034;36837
10880;SUBSET OF;104813;36842
10880;SUBSET OF;104683;36843
11562;SUBSET OF;105736;36844
13031;SUBSET OF;104742;36848
10186;SUBSET OF;104764;36857
12829;SUBSET OF;104911;36858
12829;SUBSET OF;109746;36859
12829;SUBSET OF;107899;36860
10498;SUBSET OF;105071;36861
12688;SUBSET OF;105093;36864
12688;SUBSET OF;104886;36865
12688;SUBSET OF;104686;36866
12688;SUBSET OF;104705;36867
12665;SUBSET OF;104813;36869
12665;SUBSET OF;104683;36870
20171;SUBSET OF;109668;36871
11749;SUBSET OF;109083;36875
10600;SUBSET OF;104732;36876
11639;SUBSET OF;104300;36877
11930;SUBSET OF;104990;36878
11930;SUBSET OF;104716;36879
10624;SUBSET OF;104841;36880
10298;SUBSET OF;104776;36881
11861;SUBSET OF;104810;36882
11125;SUBSET OF;105708;36883
11125;SUBSET OF;105758;36884
11132;SUBSET OF;109700;36885
12995;SUBSET OF;105114;36886
10878;SUBSET OF;104813;36887
10878;SUBSET OF;104683;36888
10044;SUBSET OF;107903;36889
10044;SUBSET OF;104775;36890
11795;SUBSET OF;104878;36895
11362;SUBSET OF;105055;36897
11362;SUBSET OF;109750;36898
11638;SUBSET OF;104300;36899
17110;SUBSET OF;104761;36900
10396;SUBSET OF;104875;36901
11158;SUBSET OF;105734;36902
11158;SUBSET OF;104801;36903
12685;SUBSET OF;104820;36904
11489;SUBSET OF;109696;36905
100325;SUBSET OF;105507;36907
18061;SUBSET OF;105639;36908
12791;SUBSET OF;104857;36909
11260;SUBSET OF;104857;36911
10626;SUBSET OF;104705;36912
11631;SUBSET OF;105736;36915
100009;SUBSET OF;105761;36919
100009;SUBSET OF;105762;36920
10583;SUBSET OF;105761;36921
10583;SUBSET OF;104735;36922
10583;SUBSET OF;104872;36923
100148;SUBSET OF;109083;36924
12944;SUBSET OF;105025;36925
10102;SUBSET OF;105097;36926
10121;SUBSET OF;104868;36927
10121;SUBSET OF;104788;36928
10687;SUBSET OF;104873;36929
12683;SUBSET OF;104820;36931
10720;SUBSET OF;104783;36932
10716;SUBSET OF;105066;36933
30020;SUBSET OF;105738;36937
19905;SUBSET OF;104952;36939
100895;SUBSET OF;105109;36940
18078;SUBSET OF;105639;36941
